Symbol,Sample Time,Open,High,Low,Close,Volume,HighShort,LowLong,LowShort
NQ=F,9/25/2019 4:00,7738.25,7844.25,7663,7820.25,540081,,,
NQ=F,9/26/2019 4:00,7822.5,7842.75,7734.75,7787.25,489320,,,
NQ=F,9/27/2019 4:00,7787,7822,7641,7701.25,598171,,,
NQ=F,9/29/2019 4:00,7735.5,7759,7705.75,7721.75,828309,,,
NQ=F,9/30/2019 4:00,7735.5,7788.75,7705.75,7770.5,337872,,,
NQ=F,10/1/2019 4:00,7784,7841.5,7691,7695.5,478759,,,
NQ=F,10/2/2019 4:00,7711,7730.5,7525.5,7546.25,586568,,,
NQ=F,10/3/2019 4:00,7551.5,7661.5,7474.25,7658.5,582820,,,
NQ=F,10/4/2019 4:00,7656.75,7773.75,7624,7767.25,420539,,,
NQ=F,10/6/2019 4:00,7712.5,7747.25,7682.5,7742.25,594280,,,
NQ=F,10/7/2019 4:00,7712.5,7799.75,7682.5,7740,381262,,,
NQ=F,10/8/2019 4:00,7736,7784.5,7613.5,7622,552145,,,
NQ=F,10/9/2019 4:00,7621,7732,7604.5,7699.75,404170,,,
NQ=F,10/10/2019 4:00,7702.25,7798.75,7583.25,7760.25,535042,,,
NQ=F,10/11/2019 4:00,7783.25,7918.5,7767,7859,490521,,,
NQ=F,10/13/2019 4:00,7850.25,7893.25,7850,7888,473679,,,
NQ=F,10/14/2019 4:00,7850.25,7894.75,7807,7857.5,311101,,,
NQ=F,10/15/2019 4:00,7862.25,7971.75,7859.75,7959.75,347657,,,
NQ=F,10/16/2019 4:00,7960,7960.25,7907.5,7948.5,347550,,,
NQ=F,10/17/2019 4:00,7954.25,7994.75,7922,7952.75,368623,,,
NQ=F,10/18/2019 4:00,7953.75,7958.5,7835.75,7880.75,437753,,,
NQ=F,10/20/2019 4:00,7874.25,7892.5,7865.75,7888.25,440904,,,
NQ=F,10/21/2019 4:00,7874.25,7951.75,7865.75,7948.25,275031,,,
NQ=F,10/22/2019 4:00,7949.25,7988.75,7837.25,7858.75,377545,,,
NQ=F,10/23/2019 4:00,7846.25,7918.25,7810.25,7901.5,348671,,,
NQ=F,10/24/2019 4:00,7922.75,7984,7913.25,7928.25,380967,,,
NQ=F,10/25/2019 4:00,7928.5,8041.5,7918.5,8035.75,348318,,,
NQ=F,10/27/2019 4:00,8048,8062.75,8048,8056.75,487493,,,
NQ=F,10/28/2019 4:00,8048,8127.5,8048,8094.75,309114,,,
NQ=F,10/29/2019 4:00,8109.25,8118.75,8050.75,8055.25,351246,,,
NQ=F,10/30/2019 4:00,8057.25,8141,8020.5,8111.25,381307,,,
NQ=F,10/31/2019 4:00,8128.5,8139,8046,8090.25,448458,,,
NQ=F,11/1/2019 4:00,8094.25,8168,8084.5,8160.25,348326,,,
NQ=F,11/3/2019 4:00,8165,8181,8164,8178.75,103460,,,
NQ=F,11/4/2019 5:00,8165,8233.75,8164,8215.75,325479,,,
NQ=F,11/5/2019 5:00,8221.5,8248,8193.25,8210.75,305795,,,
NQ=F,11/6/2019 5:00,8208,8228.25,8161,8207.25,314414,,,
NQ=F,11/7/2019 5:00,8213.75,8282.25,8190,8230.5,366403,,,
NQ=F,11/8/2019 5:00,8230,8264.25,8190,8257.25,326871,,,
NQ=F,11/10/2019 5:00,8257.25,8261.75,8251.5,8254,64506,,,
NQ=F,11/11/2019 5:00,8257.25,8261.75,8206.5,8249.75,229844,,,
NQ=F,11/12/2019 5:00,8253.25,8300.25,8228.5,8275,316729,,,
NQ=F,11/13/2019 5:00,8273,8281.5,8220,8265.75,382042,,,
NQ=F,11/14/2019 5:00,8269,8285.5,8216.25,8265.5,381593,,,
NQ=F,11/15/2019 5:00,8267.5,8324,8261.25,8318.75,367145,,,
NQ=F,11/17/2019 5:00,8318.75,8323,8307.25,8308.25,100795,,,
